Society for Community Organisation,Society for Community Organisation
SPCA,SPCA
St Barnabas Society and Home,St. Barnabas Society and Home
St. James' Settlement People's Food Bank,St. James' Settlement People's Food Bank
St. Stephen's College,St. Stephen's College
Student Representative of Tinbergen Business Cohort Community,Student Representative of Tinbergen Business Cohort Community
Student Representatives for Time Auction Hong Kong,Student Representatives for Time Auction Hong Kong
The Boys & Girls Clubs Association of Hong Kong,The Boys & Girls Clubs Association of Hong Kong
The boys' and girls' clubs association of Hong Kong,The Boys & Girls Clubs Association of Hong Kong
The Hong Kong Down Syndrome Association,The Hong Kong Down Syndrome Association
The Hong Kong Jockey Club CARE Team,The Hong Kong Jockey Club CARE Team
The Hong Kong Society for the Blind,The Hong Kong Society for the Blind
"The Hong Kong Society for the Protection of Children,Hong Kong Christian Service Centre, Soap Cycling","The Hong Kong Society for the Protection of Children, Hong Kong Christian Service Centre, Soap Cycling"
The Salvation Army Sham Shui Po Family Support Networking Team,The Salvation Army Sham Shui Po Family Support Networking Team
The Society for AIDS Care,The Society for AIDS Care (SAC)
The Society for AIDS Care (SAC),The Society for AIDS Care (SAC)
Time Auction,Time Auction
Tsuen Wan Shu Wing community Service,Tsuen Wan Shu Wing Community Service
Tung Wah Group of Hospitals Healthy Budgeting Family Debt Counselling Centre,Tung Wah Group of Hospitals Healthy Budgeting Family Debt Counselling Centre
Ultra Trail Hong Kong ,Ultra Trail Hong Kong 
UNI-Y,UNI-Y
Yang Methodist Social Service Yau Tsim Mong Integrated Services Centre,Yang Methodist Social Service Yau Tsim Mong Integrated Services Centre
仁愛之家,仁愛之家
天水圍扶康會地區支援中心,天水圍扶康會地區支援中心
百川匯 & CLP,百川匯 & CLP
